id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,LEAID,zip_code,school_type,school_level,charter,school_code,id_support,Tot_salary_exp,Tot_salary_exp_federal
120018000264,0.118131203098523,0.56326318524292,0.526901669758813,42384.0,18.1990231990232,0.53552790044159,2016-2017,FL,1200180,33351,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000265,0.106194690265487,0.640591315060055,0.531417112299465,71325.0,22.2527472527473,0.191588785046729,2016-2017,FL,1200180,33328,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000272,0.0643079661771251,0.348535658394813,0.728628800917958,40247.0,19.957264957265,0.53797733948804,2016-2017,FL,1200180,33317,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018002117,0.0613254203758655,0.729704797047971,0.733333333333333,86518.0,20.9340659340659,0.397385620915033,2016-2017,FL,1200180,33071,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018002120,0.0827296097218976,0.511682242990654,0.634423897581792,53952.0,21.3247863247863,0.305194805194805,2016-2017,FL,1200180,33325,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018002721,0.0631229235880399,0.743016759776536,0.780369290573372,97143.0,22.960927960928,0.175444371296906,2016-2017,FL,1200180,33076,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018003029,0.0658914728682171,0.786533816425121,0.794202898550725,82178.0,20.8608058608059,0.373498111912118,2016-2017,FL,1200180,33028,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018003301,0.0934065934065934,0.713690062543433,0.465671641791045,43324.0,22.7167277167277,0.283940397350993,2016-2017,FL,1200180,33060,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018003545,0.116004296455424,0.587475149105368,0.506866416978777,43445.0,20.8363858363858,0.226885644768856,2016-2017,FL,1200180,33065,Regular School,Other,Yes,141.0,120018000141,2704582.78,3374254.02
120018003684,0.126924521216673,0.64776357827476,0.836990595611285,45954.0,26.5506715506715,0.200581395348837,2016-2017,FL,1200180,33314,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018003815,0.0861928104575163,0.721358428805237,0.851030110935024,113203.0,23.0586080586081,0.128094481035658,2016-2017,FL,1200180,33332,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018003823,0.104891446507978,0.637521018496277,0.869413407821229,85717.0,20.2991452991453,0.269673704414587,2016-2017,FL,1200180,33029,Regular School,High,Yes,141.0,120018000141,2704582.78,3374254.02
120018004037,0.134814363968351,0.700750804433321,0.598191214470284,67855.0,20.4212454212454,0.435844370860927,2016-2017,FL,1200180,33065,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018004050,0.0813594232749743,0.710396681358569,0.888779041028176,83802.0,19.8107448107448,0.38738338516215,2016-2017,FL,1200180,33073,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018004052,0.0583617476805963,0.807441446783279,0.721993531314319,89750.0,20.2014652014652,0.36701030927835,2016-2017,FL,1200180,33027,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018004058,0.126924521216673,0.64776357827476,0.836990595611285,45954.0,23.3028083028083,0.186619718309859,2016-2017,FL,1200180,33301,Regular School,Other,No,141.0,120018000141,2704582.78,3374254.02
120018004318,0.0975107617443384,0.803356439255746,0.80785046728972,97593.0,22.1062271062271,0.182983682983683,2016-2017,FL,1200180,33331,Regular School,Other,Yes,141.0,120018000141,2704582.78,3374254.02
120018007300,0.0617592014971928,0.531309297912713,0.733606557377049,51023.0,19.6398046398046,0.532423208191126,2016-2017,FL,1200180,33024,Regular School,Other,Yes,141.0,120018000141,2704582.78,3374254.02
120018007555,0.104891446507978,0.637521018496277,0.869413407821229,85717.0,21.8376068376068,0.188373804267844,2016-2017,FL,1200180,33029,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120024000296,0.243264659270998,0.507062146892655,0.138728323699422,26636.0,21.9352869352869,0.40273396424816,2016-2017,FL,1200240,33950,Regular School,High,No,295.0,120024000295,2409470.92,2798626.79
120024000298,0.223901098901099,0.577916295636687,0.705583756345178,44063.0,22.8388278388278,0.353968253968254,2016-2017,FL,1200240,34224,Regular School,High,No,295.0,120024000295,2409470.92,2798626.79
120024002122,0.0577922077922078,0.559405940594059,0.522550544323484,38237.0,21.1782661782662,0.484542211652794,2016-2017,FL,1200240,33948,Regular School,High,No,295.0,120024000295,2409470.92,2798626.79
120024007659,0.243264659270998,0.507062146892655,0.138728323699422,26636.0,23.2295482295482,0.010989010989011,2016-2017,FL,1200240,33950,Regular School,High,Yes,295.0,120024000295,2409470.92,2798626.79
120027000305,0.189716312056738,0.535067873303167,0.382911392405063,32095.0,20.1526251526252,0.469055374592834,2016-2017,FL,1200270,34452,Regular School,High,No,305.0,120027000305,4970936.73,5194785.67
120027000314,0.123035230352304,0.389318885448916,0.542217700915565,29109.0,21.3492063492064,0.489263803680982,2016-2017,FL,1200270,34428,Regular School,High,No,305.0,120027000305,4970936.73,5194785.67
120027002425,0.114880493446415,0.486725663716814,0.542528735632184,35531.0,21.7399267399267,0.420817369093231,2016-2017,FL,1200270,34461,Regular School,High,No,305.0,120027000305,4970936.73,5194785.67
120030000323,0.115600448933782,0.552929085303186,0.520169851380042,39375.0,20.8852258852259,0.380803011292346,2016-2017,FL,1200300,32073,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120030000328,0.199762187871581,0.56551724137931,0.731578947368421,55221.0,21.4224664224664,0.363047001620746,2016-2017,FL,1200300,32656,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120030000330,0.118957545187053,0.485205110961668,0.256034482758621,37944.0,21.6422466422466,0.302358827734096,2016-2017,FL,1200300,32043,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120030002053,0.0426940639269406,0.617870310127955,0.604854755272583,58974.0,20.3235653235653,0.332748538011696,2016-2017,FL,1200300,32068,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120030002494,0.0819672131147541,0.546031746031746,0.581609195402299,47981.0,21.9108669108669,0.269798657718121,2016-2017,FL,1200300,32065,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120030004062,0.115631691648822,0.683370730491149,0.645710928319624,86081.0,22.9120879120879,0.113243761996161,2016-2017,FL,1200300,32003,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120030007558,0.0885449701890143,0.705837257693571,0.728946525776497,82955.0,20.1037851037851,0.214180929095355,2016-2017,FL,1200300,32065,Regular School,High,No,203.0,120030000203,4370315.92,4370315.92
120033000343,0.100534759358289,0.653919694072658,0.797385620915033,61088.0,21.6910866910867,0.372572815533981,2016-2017,FL,1200330,34102,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120033000354,0.166139954853273,0.317539319131993,0.646969696969697,44471.0,20.5433455433455,0.606,2016-2017,FL,1200330,34113,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120033000355,0.0764494612621857,0.0931216931216931,0.347695390781563,18861.0,17.5396825396825,0.870477568740955,2016-2017,FL,1200330,34142,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120033000357,0.0542521994134897,0.701923076923077,0.658303464755078,48660.0,22.8144078144078,0.240893066980023,2016-2017,FL,1200330,34109,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120033003336,0.0840404699738903,0.719877206446662,0.768115942028985,63483.0,22.3260073260073,0.196637799286806,2016-2017,FL,1200330,34119,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120033003959,0.116151202749141,0.601998621640248,0.488975356679637,43057.0,18.6385836385836,0.6658521686011,2016-2017,FL,1200330,34116,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120033003960,0.0561618917689859,0.556806550665302,0.570190641247834,59273.0,20.4212454212454,0.399670148433205,2016-2017,FL,1200330,34120,Regular School,High,No,269.0,120033000269,4773213.79,5397935.5
120036000358,0.126320624712908,0.558779201205727,0.475319926873857,44231.0,21.4468864468864,0.445615982241953,2016-2017,FL,1200360,32025,Regular School,High,No,358.0,120036000358,6065514.82,6175718.72
120036004331,0.226501305483029,0.53877139979859,0.754004576659039,42857.0,20.1526251526252,0.530492898913952,2016-2017,FL,1200360,32038,Regular School,Other,No,358.0,120036000358,6065514.82,6175718.72
120039000589,0.085045911674683,0.582964156262586,0.58679706601467,33465.0,18.3699633699634,0.698139534883721,2016-2017,FL,1200390,33015,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
120039000590,0.0283322601416613,0.934972244250595,0.789705882352941,122750.0,20.4700854700855,0.613357292602576,2016-2017,FL,1200390,33146,Regular School,High,No,367.0,120039000367,4495956.62,4495956.62
